Pregunta,Intencion,clean_txt
cuanto demoran en rematar la casa si no puedo pagar el prestamo hipotecario?,Cat_240,cuanto demoran en rematar la casa si no puedo pagar el prestamo hipotecario
me pide autorización de una compra por internet,Cat_283,me pide autorizacion de una compra por internet
se puede pagar una infraccion de transito por este medio?,Cat_132,se puede pagar una infraccion de transito por este medio
como pagar el limite de acuerdo,Cat_56,como pagar el limite de acuerdo
el cajero automatico no me dio el dinero de una extración,Cat_297,el cajero automatico no me dio el dinero de una extracion
tengo dudas sobre comisiones que cobra el banco,Cat_96,tengo dudas sobre comisiones que cobra el banco
necesio pagar por pagos mis cuenta una tarjeta cencosud,Cat_132,necesio pagar por pagos mis cuenta una tarjeta cencosud
hay alguna manera de cambiar el ciclo de mi tarjeta para que no venza los primeros días del mes?,Cat_348,hay alguna manera de cambiar el ciclo de mi tarjeta para que no venza los primeros dias del mes
canje por entrada de espectáculos superclub,Cat_322,canje por entrada de espectaculos superclub
me decís como puedo hacer para ver mi resumen de cuenta,Cat_138,me decis como puedo hacer para ver mi resumen de cuenta
donde me pueden mostrar el listado de concesionarios?,Cat_223,donde me pueden mostrar el listado de concesionarios
cuales son los gastos asociados al préstamo hipotecario?,Cat_231,cuales son los gastos asociados al prestamo hipotecario
cual es el requisito de ingresos para platinum,Cat_40,cual es el requisito de ingresos para platinum
banco quiero averiguar santander,Cat_39,banco quiero averiguar santander
no me debitaron metrogas con debito automatico,Cat_129,no me debitaron metrogas con debito automatico
cuanto dinero tengo disponible en el open ?,Cat_198,cuanto dinero tengo disponible en el open
para la escritura de compra puedo poner mi propio escribano?,Cat_207,para la escritura de compra puedo poner mi propio escribano
quiero hacer una suscripción de acciones de macro,Cat_151,quiero hacer una suscripcion de acciones de macro
el límite en dolares de la visa y de la american expres que tengo,Cat_303,el limite en dolares de la visa y de la american expres que tengo
que tengo que hacer para pedir el preacordado,Cat_223,que tengo que hacer para pedir el preacordado
a los que trabajan en la municipalidad dan prestamos,Cat_248,a los que trabajan en la municipalidad dan prestamos
¿tarda mucho en hacerse efectivo un deposito?,Cat_109,tarda mucho en hacerse efectivo un deposito
debitar metrogas debitar automatico,Cat_129,debitar metrogas debitar automatico
quiero averiguar por un prestamo. pero no soy clienta,Cat_248,quiero averiguar por un prestamo pero no soy clienta
quiero confirmar la adhesión al débito automatico de ede,Cat_93,quiero confirmar la adhesion al debito automatico de ede
que beneficios tengo con infinity,Cat_311,que beneficios tengo con infinity
cuales son las excepciones del servicio de asistencia al viajero?,Cat_282,cuales son las excepciones del servicio de asistencia al viajero
soy cliente y necesito un prestamo para un auto,Cat_223,soy cliente y necesito un prestamo para un auto
queria saber cuándo voy a poder cobrar una licencia,Cat_37,queria saber cuando voy a poder cobrar una licencia
cuales son los principales riesgos de sacar un prestamo hipotecario con el banco?,Cat_237,cuales son los principales riesgos de sacar un prestamo hipotecario con el banco
entro a home banking y no me permite operar,Cat_117,entro a home banking y no me permite operar
acceder a mi cuenta bancaria,Cat_3,acceder a mi cuenta bancaria
acabo de hacer un canje en despegar y no me llega el voucher,Cat_333,acabo de hacer un canje en despegar y no me llega el voucher
necesito que dejen de enviarme el resumen de las inversiones,Cat_179,necesito que dejen de enviarme el resumen de las inversiones
quiero saber que importe de cuota abonaría por un credito,Cat_251,quiero saber que importe de cuota abonaria por un credito
tengo un credito prendario automotor y quiero cambiarme de aseguradora por una mas economica,Cat_262,tengo un credito prendario automotor y quiero cambiarme de aseguradora por una mas economica
quisieron entrar a mi casa y rompieron el vidrio  como tengo que hacer ? que tengo que llevar al banco?,Cat_265,quisieron entrar a mi casa y rompieron el vidrio como tengo que hacer que tengo que llevar al banco
nunca recibí la tarjeta de debito,Cat_293,nunca recibi la tarjeta de debito
margen tarjeta,Cat_303,margen tarjeta
querer monto pagar tarjeta visa,Cat_342,querer monto pagar tarjeta visa
no puedo comprar acciones  aparece un cartel previo indicando que antes tengo que aceptar las condiciones de la cuenta o algo parecido.,Cat_151,no puedo comprar acciones aparece un cartel previo indicando que antes tengo que aceptar las condiciones de la cuenta o algo parecido
voy a la univ. puedo pedir una tarj?,Cat_359,voy a la univ puedo pedir una tarj
de que te puedo preguntar?,Cat_16,de que te puedo preguntar
quiero que me envíen la póliza por mail,Cat_266,quiero que me envien la poliza por mail
pedí una renovación de tarjeta hace un mes y todavía no me llegue nada.,Cat_293,pedi una renovacion de tarjeta hace un mes y todavia no me llegue nada
como hago para recargar saldo en mi cel prepago con mi tarjeta de debito?,Cat_132,como hago para recargar saldo en mi cel prepago con mi tarjeta de debito
canjee dos voucher para fly bondi pero nose como usarlos,Cat_333,canjee dos voucher para fly bondi pero nose como usarlos
necesitar pagar mastercard,Cat_342,necesitar pagar mastercard
no entender movimiento tenia,Cat_115,no entender movimiento tenia
soy select y necesito telefono para consulta,Cat_147,soy select y necesito telefono para consulta
querer pagar patentar auto,Cat_132,querer pagar patentar auto
quisiera saber hasta cuanto podria sacar en credito para vivienda,Cat_251,quisiera saber hasta cuanto podria sacar en credito para vivienda
me rebotaron la amex recien en una compra,Cat_286,me rebotaron la amex recien en una compra
numero de tel atencion al cliente,Cat_147,numero de tel atencion al cliente
consultar gastar tarjeta credito,Cat_115,consultar gastar tarjeta credito
saque plata del cajero  me desconto pero me dio menos,Cat_297,saque plata del cajero me desconto pero me dio menos
yo realice un canje por los puntos. y no me llego el producto todavia quisiera saber el estado cuando me llegaria?,Cat_326,yo realice un canje por los puntos y no me llego el producto todavia quisiera saber el estado cuando me llegaria
donde me fijo el límite de ccredito que tengo?,Cat_223,donde me fijo el limite de ccredito que tengo
necesito pedir el descubierto,Cat_57,necesito pedir el descubierto
es posible ver el lí¬≠mite de compra?,Cat_303,es posible ver el li¬=mite de compra
gasto mantencion,Cat_96,gasto mantencion
tarjeta enviada por correo cómo hago el seguimiento,Cat_293,tarjeta enviada por correo como hago el seguimiento
entender resumen inversión,Cat_188,entender resumen inversion
quiero información sobre las comisiones para comprar lebacs,Cat_96,quiero informacion sobre las comisiones para comprar lebacs
quiero pagar tarjeta santander,Cat_342,quiero pagar tarjeta santander
queria seguimiento tarjeta nunca llegar,Cat_293,queria seguimiento tarjeta nunca llegar
querer pagar impuesto online banking,Cat_132,querer pagar impuesto online banking
donde puedo descargar certificado de la cuenta bancaria,Cat_42,donde puedo descargar certificado de la cuenta bancaria
numero telefono terminar,Cat_147,numero telefono terminar
como me inscribo para los beneficios con la tarjeta,Cat_311,como me inscribo para los beneficios con la tarjeta
si no sos cliente podes acceder a un prestamo via online,Cat_248,si no sos cliente podes acceder a un prestamo via online
como hago para poner metrogas en la tarjeta?,Cat_132,como hago para poner metrogas en la tarjeta
puedo comprar un ph con el préstamo hipotecario?,Cat_211,puedo comprar un ph con el prestamo hipotecario
ya pasaron hs y no me habilitan saldo,Cat_279,ya pasaron hs y no me habilitan saldo
fci nueva medida,Cat_172,fci nueva medida
hacer reclamo solucion,Cat_135,hacer reclamo solucion
pagar programar abonar afip debitar correctamente motivo,Cat_129,pagar programar abonar afip debitar correctamente motivo
como puedo sacar el resumen,Cat_138,como puedo sacar el resumen
pagar tarjeta,Cat_342,pagar tarjeta
necesito depositar un cheque en dolares,Cat_30,necesito depositar un cheque en dolares
querer pagar tarjeta naranja este sistema,Cat_132,querer pagar tarjeta naranja este sistema
cuantas chequeras puedo pedir,Cat_44,cuantas chequeras puedo pedir
como acumulo millas?,Cat_274,como acumulo millas
por un cobro de la tarjeta que nunca me dijeron que tenia mantenimiento y la voy a dar de baja,Cat_338,por un cobro de la tarjeta que nunca me dijeron que tenia mantenimiento y la voy a dar de baja
cual es el santander rio mas cercano?,Cat_91,cual es el santander rio mas cercano
que pasa se dejo de pagar la tarjeta de credito,Cat_351,que pasa se dejo de pagar la tarjeta de credito
son fijas las cuotas?,Cat_219,son fijas las cuotas
cómo es el proceso para solicitar un préstamo?,Cat_241,como es el proceso para solicitar un prestamo
si nesecito ver mi resumen,Cat_138,si nesecito ver mi resumen
cuanto es el ingreso minimo para se cliente platinum?,Cat_40,cuanto es el ingreso minimo para se cliente platinum
necesito pagar un tramite site de la dnrpa,Cat_132,necesito pagar un tramite site de la dnrpa
buenas noches,Cat_19,buenas noches
robo en domicilio,Cat_265,robo en domicilio
limite comprar tarjeta platinun,Cat_303,limite comprar tarjeta platinun
el monto del prestamo personal que debi abonar es el mismo o ya tiene un recargo?,Cat_240,el monto del prestamo personal que debi abonar es el mismo o ya tiene un recargo
querer marido cotitular,Cat_38,querer marido cotitular
solicite un credito hace mas de diez dias,Cat_215,solicite un credito hace mas de diez dias
necesitaría un préstamo de yo soy cliente santander,Cat_223,necesitaria un prestamo de yo soy cliente santander
quisiera saber el vencimiento de mi tarjeta santander rio vissa,Cat_341,quisiera saber el vencimiento de mi tarjeta santander rio vissa
decime el valor de cuota parte del renta fija al,Cat_174,decime el valor de cuota parte del renta fija al
como comprar lebac,Cat_157,como comprar lebac
como hago para cambiar clave y usuario,Cat_1,como hago para cambiar clave y usuario
puedo sacar otro prestamo,Cat_218,puedo sacar otro prestamo
la tarjeta de débito visa suma puntos?,Cat_323,la tarjeta de debito visa suma puntos
quiero regularizar mi credito prendario,Cat_192,quiero regularizar mi credito prendario
