Pregunta,Intencion,Pregunta_T1
no me atienden por telefono y quiero dar de baja la tarjeta de ccredito,Cat_338,No recibo servicio por teléfono y deseo cancelar la suscripción de la tarjeta de crédito
quiero abonar un servicio de dnrap y no me figura,Cat_132,Quiero pagar un servicio dnrap y no lo sé
consultar saldar,Cat_50,consultar pagar
perdi mi tarjeta visa santander . a que número telefonico debo comunicarme?,Cat_294,Perdí mi tarjeta de visa santander. ¿Con qué número de teléfono debo contactar?
prestamos prendarios para motos tienen,Cat_228,Los préstamos de compromiso para motocicletas tienen
reintegro pago servicios,Cat_312,servicios de pago de reembolso
dependo de la tasacion para ver el capital a solicitar?,Cat_216,¿Depende de la tasación para ver el capital que solicito?
numero de telefono,Cat_147,número de teléfono
como hago para sacar dinero del cajero automatico,Cat_298,¿Cómo retiro dinero del cajero automático?
el cajero automatico me indico un descubierto erroneo.,Cat_56,El cajero automático me indicó un descubrimiento erróneo.
vos me podes tomar un reclamo?,Cat_135,¿Puedes tomar un reclamo?
me enviaron mis premios pero no estaba en casa y jamás volvieron a enviarlos,Cat_326,me enviaron mis premios pero no estaba en casa y nunca me los enviaron de nuevo
quiero solicitar la tarjeta de credito,Cat_337,Quiero solicitar la tarjeta de credito
no se acreditaban los bonos vencidos días atrás?,Cat_161,¿No se acreditaron los bonos vencidos?
para pagar los impuestos con la visa,Cat_132,pagar los impuestos con la visa
queria extender la fecha de cierre de la visa.,Cat_348,Quería extender la fecha de cierre de la visa.
necesito adquirir tarjeta visa,Cat_337,Necesito adquirir una tarjeta visa
quisiera saber si estan otorgando creditos personales,Cat_225,Me gustaría saber si está otorgando créditos personales
no puedo realizar un pago con tarjeta de credito,Cat_286,No puedo hacer un pago con tarjeta de crédito.
extender limite de descubierto,Cat_57,extender el límite de sobregiro
tasa fija hay para compra de vivienda?,Cat_258,tasa fija para la compra de una casa?
cuanto interés tiene el plan v,Cat_308,cuánto interés tiene el plan v
como hago para quitar un debito automatico?,Cat_89,¿Cómo puedo eliminar un débito automático?
me llego mens q tengo q renovar mis claves y no se como hacerlo.,Cat_1,Recibí un mensaje de que tengo que renovar mis contraseñas y no sé cómo hacerlo.
por que no puedo transferir usd por home banking?,Cat_80,¿Por qué no puedo transferir usd a través de la banca local?
si quiero sacar plata en el exterior con la tarjeta de ccredito como tengo que hacer?,Cat_298,"Si deseo retirar dinero en el extranjero con la tarjeta de crédito, ¿cómo debo hacerlo?"
debito automatico servicios,Cat_132,servicios de débito automáticos
quiero retirar la tarjeta en la sucursal de barracas,Cat_318,Quiero retirar la tarjeta en la sucursal de barracas
cómo puedo hacer para sacar un préstamo?,Cat_223,¿Cómo puedo obtener un préstamo?
como cambiar mi pasaporte a dni,Cat_103,como cambiar mi pasaporte a dni
hacen comercio exterior en santander rio?,Cat_36,¿Haces comercio exterior en Santander Rio?
plastico tarjeta sucursal,Cat_293,tarjeta de rama de plástico
no aparece en online banking quien es mi ejecutivo,Cat_126,quien es mi ejecutivo no aparece en la banca en línea
donde puedo buscartenencias,Cat_67,donde puedo buscar pertenencias
requisito abrir bancario,Cat_39,requisito de apertura bancaria
como recupero mi cuenta bloqueda?,Cat_51,¿Cómo recupero mi cuenta bloqueada?
quiero sacar la tarjeta visa recarga. q costo tiene,Cat_313,Quiero obtener la tarjeta de recarga de visa. que costo tiene
reintegrar plata punto canjear,Cat_312,reembolso punto de plata canjear
adquerir tarjeta,Cat_337,adquirir tarjeta
comprar una vivienda,Cat_228,comprar una casa
quiero pagar desde mi caja de ahorro en dolares,Cat_307,Quiero pagar de mi caja de ahorros en dólares
cupo tarjeta credito,Cat_303,espacio de tarjeta de crédito
cuál es la tasa por un acuerdo de sobregiro?,Cat_56,¿Cuál es la tarifa por un acuerdo de sobregiro?
el dinero del prestamo hipotecario se deposita en varios desembolsos?,Cat_226,¿El dinero del préstamo hipotecario se deposita en varios desembolsos?
me mandaron un voucher vencido,Cat_333,me enviaron un cupón vencido
ccredito personal,Cat_225,crédito personal
y para trabajar en santander?,Cat_102,y para trabajar en santander?
queria hacer una consulta sobre un cheque depositado el viernes pasado y que vino rechazado. se puede saber el motivo?,Cat_47,Quería hacer una consulta sobre un cheque depositado el viernes pasado que fue rechazado. puedes saber el motivo?
saber monto abonar tarjeta santander visa,Cat_342,saber monto pagar tarjeta visa santander
que papeles necesito para pedir un prendario,Cat_247,¿Qué documentos necesito para pedir una promesa?
pagar servicio home banking tarjeta credito edenor,Cat_132,pagar servicio bancario en casa tarjeta de crédito edenor
como me doy cuenta si estoy sumando puntos superclub?,Cat_325,¿Cómo sé si estoy agregando puntos de súper club?
mis conumos del mes?,Cat_138,mi consumo del mes?
buenos dias,Cat_19,Buenos días
debo recibir plata en mi cuenta desde el exterior y aún no la recibí,Cat_33,Debo recibir dinero en mi cuenta desde el extranjero y todavía no lo he recibido.
como usar esto,Cat_10,como usar esto
soy jubilada y cobro x el banco.quiero saber el listado de farmacias q hacen el descuento de 25%.como sale en la propaganda de tv,Cat_311,Estoy retirado y cobro el banco. Quiero saber la lista de farmacias que hacen el descuento del 25%. Como aparece en la publicidad televisiva
donde apuntó mis datos personales para saber si puedo acceder al prestamo,Cat_248,donde escribió mis datos personales para saber si puedo acceder al préstamo
aparece debitaron erróneo,Cat_112,parece cargado incorrectamente
en el paseo alcorta no aplican la promocion del super miercoles mujer,Cat_311,en la caminata de alcorta no aplican la promoción de la súper miercoles
a que número puedo llamar para un préstamo personal,Cat_223,¿A qué número puedo llamar para un préstamo personal?
cómo hago para comprar títulos públicos?,Cat_157,¿Cómo puedo comprar valores gubernamentales?
recien me llamaron veces! sera por el tema del traspaso de mi cuenta?,Cat_146,¡Me acaban de llamar veces! ¿Podría ser debido a la transferencia de mi cuenta?
como se si mi tarjeta llego ala sucursal?,Cat_293,¿Cómo sé si mi tarjeta llega a la sucursal?
como es el financiamiento una vez que hacer el pago mínimo?,Cat_308,¿Cómo es el financiamiento una vez que realiza el pago mínimo?
tengo un problema con el calefón  no funciona. tengo cobertura por eso?,Cat_265,Tengo un problema con el calentador de agua que no funciona. ¿Tengo cobertura para eso?
me dice que la tarjeta esta bloqueada.,Cat_286,me dice que la tarjeta está bloqueada
simulación de super prestamo santander rio,Cat_251,simulación de super préstamo santander rio
como puedo saver si depocitaron dinero a mi nombre,Cat_50,¿Cómo puedo saber si depositaron dinero a mi nombre?
porque no aparece la tarjeta como pagada,Cat_279,porque la tarjeta no aparece como pagada
comision extraccion exterior,Cat_96,Comisión de extracción externa
compra exterior dolares tarjeta visa pagar pesos,Cat_307,compra en el extranjero dólares tarjeta visa pagar pesos
me robó la empleada doméstica  tengo cobertura?,Cat_265,"la trabajadora doméstica me robó, ¿tengo cobertura?"
activacion de extension,Cat_301,activación de extensión
ccredito preacordado,Cat_225,crédito preestablecido
querer pagar parcial tarjeta visa,Cat_342,quiere pagar una tarjeta de visa parcial
como puedo canjear los puntos,Cat_322,¿Cómo puedo canjear puntos?
puedo solicitar un prestamo personal para hacer arreglos en mi casa?,Cat_228,¿Puedo solicitar un préstamo personal para hacer arreglos en mi casa?
como puedo saber cual es el nro de socio advantage?,Cat_275,¿Cómo puedo saber cuál es el número de socio de ventaja?
llamar exterior,Cat_147,llamar afuera
querer darme bajo,Cat_41,quieres darme baja
adherir a american airlines con visa,Cat_299,unirse a American Airlines con visa
reintegro debito pago de servicio,Cat_312,reembolso servicio de débito pago
como es un ejemplo para un préstamo hipotecario ajustable?,Cat_229,¿Cómo es un ejemplo para un préstamo hipotecario ajustable?
queria consultar si puedo pedir un prestamo personal,Cat_248,Quería ver si puedo pedir un préstamo personal
queria consultar si tengo algún préstamo disponible pra mi.,Cat_223,Quería ver si tengo un préstamo disponible para mí.
quiero cambiar mi tarjeta a contactless,Cat_291,Quiero cambiar mi tarjeta a sin contacto
alguien me pude decir para que es el programa advantage,Cat_277,alguien puede decirme para qué sirve el programa de ventajas
cual sería el valor de mi cuota de prestamo para un terreno,Cat_219,¿Cuál sería el valor de la cuota de mi préstamo para un terreno?
reclame por no entrega dinero cajero banelco,Cat_297,reclamación por canel de dinero no entrega banelco
que gastos cobra santander rio en los prestamos hipotecarios?,Cat_231,¿Qué gastos cobra Santander Rio por los préstamos hipotecarios?
necesito en cuotas,Cat_251,Necesito en cuotas
que vehiculos se pueden comprar con el credito,Cat_228,qué vehículos se pueden comprar con el crédito
quiero un préstamo para comprar un terreno,Cat_228,Quiero un préstamo para comprar un terreno.
siendo extranjero puedo obtener un ccredito hipotecario,Cat_248,siendo extranjero puedo obtener una hipoteca
como son los creditos personales si pido por ejemplo en meses cuota fija por se cliente son muchos loa intereses ?,Cat_251,"¿Cómo son los créditos personales si solicito, por ejemplo, en meses, una tarifa fija por cliente, hay muchos intereses?"
el prestamo solo es para casas construidas?,Cat_211,¿El préstamo es solo para casas construidas?
mexico telefono llamar,Cat_147,llamada telefónica de mexico
necesitar modificar gasto dolar debitar dolar peso modificacion,Cat_289,necesidad de modificar el gasto de débito en dólares modificación del peso en dólares
yo quisiera saber si puedo optener la tarjeta de credito del banco .ya tengo la de debito,Cat_337,Me gustaría saber si puedo obtener la tarjeta de crédito bancaria. Ya tengo una tarjeta de debito
si hay tasas especiales para plazos fijos de más de un millon. o son las regulares.,Cat_184,si hay tarifas especiales para plazos fijos de más de un millón. o son los regulares.
necesito crear,Cat_39,necesito crear
quien sos,Cat_14,quién eres tú
tengo tarjeta de santander rio  como hago para sumar millas en aadnatage_,Cat_274,Tengo una tarjeta santander rio ¿Cómo puedo agregar millas en una ventaja?
reactivación de tarjeta,Cat_314,reactivación de tarjeta
quiero compromiso pago,Cat_191,Quiero pago de compromiso
quisiera saber si puedo pedir un préstamo de,Cat_248,Me gustaría saber si puedo solicitar un préstamo a
entre a trabajar hace dos meses puedo solicitar el préstamo hipotecario?,Cat_248,"Fui a trabajar hace dos meses, ¿puedo solicitar el préstamo hipotecario?"
quiero saber de los prestamos uvas y procrear  me mostras la diferencia entre cada uno?,Cat_202,"Quiero saber acerca de los préstamos de uvas y procrear, ¿mostrarme la diferencia entre cada uno?"
tengo un cheque en dolares  como lo puedo cobrar?,Cat_30,"Tengo un cheque en dólares, ¿cómo puedo cobrarlo?"
no llegue la transferencia a mi cuenta del exterior,Cat_35,la transferencia no llega a mi cuenta en el extranjero
me.olvide la contraseña de mi cuenta,Cat_1,Olvidé la contraseña de mi cuenta
me contactan de un estudio juridico por una deuda con el santander,Cat_190,Soy contactado por una firma de abogados para una deuda con Santander
aumentar extracciones,Cat_287,aumentar extracciones
que documentación tengo que presentar para mandar un pago hacia el exterior?,Cat_36,¿Qué documentación debo presentar para enviar un pago al extranjero?
usan sistema francés?,Cat_252,utilizar el sistema francés?
hay tasa fija para compra de segunda vivienda?,Cat_258,¿Hay una tarifa fija para comprar una segunda casa?
la tarjeta esta paga igual verdad?,Cat_279,"La tarjeta paga lo mismo, ¿verdad?"
soy cliente pregunto para un préstamo prendario cuanto es el interés hoy,Cat_258,Soy un cliente. Solicito un préstamo de compromiso. ¿Cuánto es el interés hoy?
ir pagando en cuotas la deuda con la tarjeta,Cat_308,pagar la deuda de la tarjeta en cuotas
¿cuándo se pagan los intereses de las letes?,Cat_158,¿Cuándo se pagan los intereses de la leche?
yo pedí la tarjeta santander llega al domicilio o tengo q ir a buscarla?,Cat_293,¿Pedí la tarjeta Santander para llegar a la dirección o tengo que ir a buscarla?
no puedo retirar las tarjetas  me las pueden mandar a otra sucursal,Cat_318,"No puedo retirar las tarjetas, pueden enviarlas a otra sucursal"
necesito solicitar o tramitar 2 posnet,Cat_71,Necesito solicitar o procesar 2 posnet
quiero el descuento de colectivo de % quiero saber cuales son las empresas que lo toman,Cat_311,Quiero el descuento colectivo del% Quiero saber cuáles son las empresas que lo toman
quiero hacer stop debit,Cat_353,Quiero detener el débito
para solicitar el préstamo lo puedo hacer por este medio,Cat_223,"Para solicitar el préstamo, puedo hacerlo aquí."
cuales son los requisitos para hacer un pago al exterior?,Cat_36,¿Cuáles son los requisitos para realizar un pago en el extranjero?
saber que tipo de amortización tienen los creditos personales,Cat_252,saber qué tipo de reembolso tienen los créditos personales
tengo la luz adherida al débito automatico?,Cat_93,¿Tengo la luz conectada al débito automático?
me robaron y queria saber como proceder porque estoy asegurada,Cat_265,Me robaron y quería saber cómo proceder porque estoy asegurado
cómo agrego un servicio a la agenda de pagos,Cat_132,¿Cómo agrego un servicio al calendario de pagos?
direccion de sucursal,Cat_91,dirección de sucursal
quiero obtener visa santander,Cat_337,Quiero obtener una visa de Santander
algun nro de tel para comunicarme,Cat_147,cualquier número de teléfono para comunicarse
necesito usar mi tarjeta de debito y en el posnet solicita pedir autorizacion,Cat_283,Necesito usar mi tarjeta de débito y en la solicitud de postnet para solicitar autorización
que son las tarjetas sin contacto ?,Cat_291,¿Qué son las tarjetas sin contacto?
tarjeta extranjero,Cat_289,tarjeta extranjera
qué pasa que me cobran caja de seguridad si ni siquiera la uso?,Cat_92,¿Qué sucede si me cobran seguro si ni siquiera lo uso?
olvide mi contraseña,Cat_1,Olvidé mi contraseña
tenia una consulta con respecto al pago de un prestamo  se puede pagar en efectivo a traves de una terminal de autoservicio?,Cat_239,Tenía una pregunta sobre el pago de un préstamo. ¿Se puede pagar en efectivo a través de una terminal de autoservicio?
deseo abrir una caja de ahorro en pesosss,Cat_39,Quiero abrir una caja de ahorros en pesos.
puedo aumentar la linea crediticia disponible?,Cat_196,¿Puedo aumentar la línea de crédito disponible?
que tasa de interés debo pagar por el ccredito hipotecario?,Cat_258,¿Qué tasa de interés debo pagar en la hipoteca?
que tiempo demora la reimpresion de mi tarjeta de debito,Cat_316,¿Cuánto tiempo lleva reimprimir mi tarjeta de débito?
voy a usar las tarjetas en el exterior,Cat_304,Usaré las tarjetas en el extranjero
me podras brindar la informacion por adherir servicios a debito automatico?,Cat_132,¿Me puede dar la información para unir servicios a débito automático?
querer cambiar contraseña acceso,Cat_1,desea cambiar la contraseña de acceso
olvide clave banelco?,Cat_288,olvida la llave de banelco?
cómo hago una transferencia de mi caja de ahorros a mi cuenta corriente?,Cat_85,¿Cómo transfiero de mi caja de ahorros a mi cuenta corriente?
quisiera enviar mi cv,Cat_102,Me gustaría enviar mi CV
no me pagaron la pension,Cat_37,no me pagaron la pensión
caja de ahorro para monotributista,Cat_39,caja de ahorro monotributista
yo use el comodin de conbustible quiero saber cuando me reintegran el dinero,Cat_322,Uso el comodín de combustible que quiero saber cuando me devuelvan mi dinero
consultar saldo tarjeta american express,Cat_303,consultar saldo de la tarjeta American Express
donde veo las operaciones a confirmar,Cat_343,donde veo las operaciones para confirmar
dar de baja una cuenta universitaria,Cat_41,cancelar la suscripción de una cuenta universitaria
podemos hacer un simulacro?,Cat_251,podemos hacer un simulacro?
hacer recargar subir cargar dinero,Cat_129,recargar subir cargar dinero
reimpresión de tarjeta de ccredito santander,Cat_316,reimpresión de tarjeta de crédito santander
costo transferencia banco santander,Cat_83,costo de transferencia bancaria santander
necesito pagar agip,Cat_132,Necesito pagar agip
pero quiero obtener una clave para mi tarjeta de ccredito american express,Cat_288,pero quiero obtener una clave para mi tarjeta de crédito American Express
no puedo pagar o extraer dinero con mi tarjeta santander,Cat_286,No puedo pagar ni retirar dinero con mi tarjeta Santander
cómo hago para saber el número de cuenta de mi tarjeta santander  ccredito?,Cat_344,¿Cómo puedo averiguar el número de cuenta de mi tarjeta de crédito Santander?
que valor de devolución tiene y que cuota del seguro para un samsung s plus?,Cat_261,¿Cuál es el valor de devolución y cuál es la tarifa del seguro para un Samsung s plus?
quiero cerrar mi cuenta,Cat_41,Quiero cerrar mi cuenta
dan préstamos a monotributustas,Cat_248,dan préstamos a monotributistas
queria pagarle el sueldo a un empleado pero necesito ayuda,Cat_69,Quería pagarle un salario a un empleado pero necesito ayuda
soy cliente y necesito un prestamo,Cat_223,Soy cliente y necesito un préstamo.
simulador.de prestamo,Cat_251,simulador de préstamo
quisiera saber sobre creditos personales,Cat_225,Me gustaría saber sobre créditos personales.
quiero saber cuales son los pagos que hice con tarjeta de credito,Cat_279,Quiero saber cuáles son los pagos que hice con una tarjeta de crédito
que es el coeficiente de estabilización de referencia,Cat_107,cual es el coeficiente de estabilización de referencia
saber donde llegar tarjeta nueva,Cat_293,saber dónde obtener una nueva tarjeta
quisiera dar de baja una poliza como puedo hacerlo y donde?,Cat_262,"Me gustaría cancelar una política, ¿cómo puedo hacerlo y dónde?"
cuanto demoran en rematar la casa si no puedo pagar el prestamo hipotecario?,Cat_240,¿Cuánto tiempo llevará terminar la casa si no puedo pagar el préstamo hipotecario?
me pide autorización de una compra por internet,Cat_283,pide autorización de una compra en línea
se puede pagar una infraccion de transito por este medio?,Cat_132,¿Se puede pagar una infracción de tráfico por este medio?
como pagar el limite de acuerdo,Cat_56,cómo pagar el límite del acuerdo
el cajero automatico no me dio el dinero de una extración,Cat_297,el cajero automático no me dio el dinero para un retiro
tengo dudas sobre comisiones que cobra el banco,Cat_96,Tengo preguntas sobre las tarifas cobradas por el banco
necesio pagar por pagos mis cuenta una tarjeta cencosud,Cat_132,Necesito pagar los pagos de mi cuenta con una tarjeta cencosud
hay alguna manera de cambiar el ciclo de mi tarjeta para que no venza los primeros días del mes?,Cat_348,¿Hay alguna forma de cambiar el ciclo de mi tarjeta para que no caduque los primeros días del mes?
canje por entrada de espectáculos superclub,Cat_322,cambio de entradas para el show del superclub
me decís como puedo hacer para ver mi resumen de cuenta,Cat_138,dime cómo puedo ver el resumen de mi cuenta
donde me pueden mostrar el listado de concesionarios?,Cat_223,¿Dónde puede mostrarme la lista de distribuidores?
cuales son los gastos asociados al préstamo hipotecario?,Cat_231,¿Cuáles son los gastos asociados con el préstamo hipotecario?
cual es el requisito de ingresos para platinum,Cat_40,¿Cuál es el requisito de ingresos para platino?
banco quiero averiguar santander,Cat_39,banco quiero averiguar santander
no me debitaron metrogas con debito automatico,Cat_129,Metrogas no me cargó con débito automático
cuanto dinero tengo disponible en el open ?,Cat_198,¿Cuánto dinero tengo disponible al aire libre?
para la escritura de compra puedo poner mi propio escribano?,Cat_207,"Para la escritura de compra, ¿puedo poner mi propio notario?"
quiero hacer una suscripción de acciones de macro,Cat_151,Quiero suscribirme para compartir macro
el límite en dolares de la visa y de la american expres que tengo,Cat_303,El límite de dólares de la visa y el American Express que tengo
que tengo que hacer para pedir el preacordado,Cat_223,¿Qué tengo que hacer para solicitar el acuerdo previo?
a los que trabajan en la municipalidad dan prestamos,Cat_248,dan préstamos a quienes trabajan en el municipio
¿tarda mucho en hacerse efectivo un deposito?,Cat_109,¿Toma mucho tiempo para que un depósito surta efecto?
debitar metrogas debitar automatico,Cat_129,débito metrogas débito automático
quiero averiguar por un prestamo. pero no soy clienta,Cat_248,Quiero averiguar sobre un préstamo. pero no soy cliente
quiero confirmar la adhesión al débito automatico de ede,Cat_93,Quiero confirmar la adhesión al débito automático de ede
que beneficios tengo con infinity,Cat_311,¿Qué beneficios tengo con el infinito?
cuales son las excepciones del servicio de asistencia al viajero?,Cat_282,¿Cuáles son las excepciones al servicio de asistencia en viaje?
soy cliente y necesito un prestamo para un auto,Cat_223,Soy cliente y necesito un préstamo de auto
queria saber cuándo voy a poder cobrar una licencia,Cat_37,Quería saber cuándo podré recoger una licencia
cuales son los principales riesgos de sacar un prestamo hipotecario con el banco?,Cat_237,¿Cuáles son los principales riesgos de obtener un préstamo hipotecario con el banco?
entro a home banking y no me permite operar,Cat_117,Entro a la banca en casa y no me permite operar
acceder a mi cuenta bancaria,Cat_3,acceder a mi cuenta bancaria
acabo de hacer un canje en despegar y no me llega el voucher,Cat_333,Acabo de hacer un intercambio en despegar y el bono no llega
necesito que dejen de enviarme el resumen de las inversiones,Cat_179,Necesito que dejes de enviarme el resumen de inversión
quiero saber que importe de cuota abonaría por un credito,Cat_251,Quiero saber qué cantidad de la cuota pagaría por un crédito
tengo un credito prendario automotor y quiero cambiarme de aseguradora por una mas economica,Cat_262,Tengo un gravamen de automóvil y quiero cambiar mi aseguradora por una más barata
quisieron entrar a mi casa y rompieron el vidrio  como tengo que hacer ? que tengo que llevar al banco?,Cat_265,"Querían entrar a mi casa y rompieron el vidrio, ¿cómo debo hacerlo? ¿Qué tengo que llevar al banco?"
nunca recibí la tarjeta de debito,Cat_293,Nunca recibí la tarjeta de débito
margen tarjeta,Cat_303,margen de la tarjeta
querer monto pagar tarjeta visa,Cat_342,querer pagar tarjeta visa
no puedo comprar acciones  aparece un cartel previo indicando que antes tengo que aceptar las condiciones de la cuenta o algo parecido.,Cat_151,"No puedo comprar acciones, aparece un póster anterior que indica que primero debo aceptar las condiciones de la cuenta o algo similar."
voy a la univ. puedo pedir una tarj?,Cat_359,"Voy a la universidad, ¿puedo pedir una tarjeta?"
de que te puedo preguntar?,Cat_16,¿Qué te puedo preguntar?
quiero que me envíen la póliza por mail,Cat_266,Quiero que me envíen la política por correo electrónico
pedí una renovación de tarjeta hace un mes y todavía no me llegue nada.,Cat_293,Solicité una renovación de tarjeta hace un mes y aún no ha llegado nada.
como hago para recargar saldo en mi cel prepago con mi tarjeta de debito?,Cat_132,¿Cómo puedo recargar mi saldo de crédito prepago con mi tarjeta de débito?
canjee dos voucher para fly bondi pero nose como usarlos,Cat_333,canjeo dos cupones por fly bondi pero no sé cómo usarlos
necesitar pagar mastercard,Cat_342,necesita pagar mastercard
no entender movimiento tenia,Cat_115,no entendió el movimiento tenía
soy select y necesito telefono para consulta,Cat_147,Soy selecto y necesito un teléfono para consulta
querer pagar patentar auto,Cat_132,querer pagar patente coche
quisiera saber hasta cuanto podria sacar en credito para vivienda,Cat_251,Me gustaría saber cuánto podría obtener en crédito para vivienda
me rebotaron la amex recien en una compra,Cat_286,el amex me rebotó recientemente en una compra
numero de tel atencion al cliente,Cat_147,número de teléfono de servicio al cliente
consultar gastar tarjeta credito,Cat_115,consultar gastar tarjeta de crédito
saque plata del cajero  me desconto pero me dio menos,Cat_297,"Saqué dinero del cajero automático, me descontaron pero me dio menos"
yo realice un canje por los puntos. y no me llego el producto todavia quisiera saber el estado cuando me llegaria?,Cat_326,Cambio por los puntos. y el producto aún no llegó ¿Me gustaría saber el estado en que llegará?
donde me fijo el límite de ccredito que tengo?,Cat_223,¿Dónde configuro el límite de crédito que tengo?
necesito pedir el descubierto,Cat_57,Necesito ordenar el sobregiro
es posible ver el lí¬≠mite de compra?,Cat_303,¿Es posible ver el límite de compra?
gasto mantencion,Cat_96,gastos de mantenimiento
tarjeta enviada por correo cómo hago el seguimiento,Cat_293,tarjeta enviada por correo ¿cómo puedo rastrear
entender resumen inversión,Cat_188,entender resumen de inversión
quiero información sobre las comisiones para comprar lebacs,Cat_96,Quiero información sobre las comisiones para comprar lebacs
quiero pagar tarjeta santander,Cat_342,quiero pagar la tarjeta santander
queria seguimiento tarjeta nunca llegar,Cat_293,Quería hacer un seguimiento de la tarjeta
querer pagar impuesto online banking,Cat_132,querer pagar impuestos bancarios en línea
donde puedo descargar certificado de la cuenta bancaria,Cat_42,¿Dónde puedo descargar el certificado de la cuenta bancaria?
numero telefono terminar,Cat_147,final del número de teléfono
como me inscribo para los beneficios con la tarjeta,Cat_311,¿Cómo me inscribo en los beneficios de la tarjeta?
si no sos cliente podes acceder a un prestamo via online,Cat_248,"Si no es cliente, puede acceder a un préstamo en línea"
como hago para poner metrogas en la tarjeta?,Cat_132,¿Cómo puedo poner metrogas en la tarjeta?
puedo comprar un ph con el préstamo hipotecario?,Cat_211,¿Puedo comprar un ph con el préstamo hipotecario?
ya pasaron hs y no me habilitan saldo,Cat_279,han pasado y no me permiten equilibrar
fci nueva medida,Cat_172,nueva medida fci
hacer reclamo solucion,Cat_135,hacer una solución de reclamo
pagar programar abonar afip debitar correctamente motivo,Cat_129,horario de pago pago debip debito razón correcta
como puedo sacar el resumen,Cat_138,¿Cómo puedo obtener el resumen?
pagar tarjeta,Cat_342,Tarjeta de pago
necesito depositar un cheque en dolares,Cat_30,Necesito depositar un cheque en dólares
querer pagar tarjeta naranja este sistema,Cat_132,querer pagar tarjeta naranja este sistema
cuantas chequeras puedo pedir,Cat_44,¿Cuántas chequeras puedo pedir?
como acumulo millas?,Cat_274,¿Cómo gano millas?
por un cobro de la tarjeta que nunca me dijeron que tenia mantenimiento y la voy a dar de baja,Cat_338,por un cargo en la tarjeta que nunca me dijeron que tenía mantenimiento y lo cancelaré
cual es el santander rio mas cercano?,Cat_91,¿Cuál es el río Santander más cercano?
