clean_txt,Intencion
recien me llamaron veces sera por el tema del traspaso de mi cuenta,Cat_146
como se si mi tarjeta llego ala sucursal,Cat_293
como es el financiamiento una vez que hacer el pago minimo,Cat_308
tengo un problema con el calefon no funciona tengo cobertura por eso,Cat_265
me dice que la tarjeta esta bloqueada,Cat_286
simulacion de super prestamo santander rio,Cat_251
como puedo saver si depocitaron dinero a mi nombre,Cat_50
porque no aparece la tarjeta como pagada,Cat_279
comision extraccion exterior,Cat_96
compra exterior dolares tarjeta visa pagar pesos,Cat_307
me robo la empleada domestica tengo cobertura,Cat_265
activacion de extension,Cat_301
ccredito preacordado,Cat_225
querer pagar parcial tarjeta visa,Cat_342
como puedo canjear los puntos,Cat_322
puedo solicitar un prestamo personal para hacer arreglos en mi casa,Cat_228
como puedo saber cual es el nro de socio advantage,Cat_275
llamar exterior,Cat_147
querer darme bajo,Cat_41
adherir a american airlines con visa,Cat_299
reintegro debito pago de servicio,Cat_312
como es un ejemplo para un prestamo hipotecario ajustable,Cat_229
queria consultar si puedo pedir un prestamo personal,Cat_248
queria consultar si tengo algun prestamo disponible pra mi,Cat_223
quiero cambiar mi tarjeta a contactless,Cat_291
alguien me pude decir para que es el programa advantage,Cat_277
cual seria el valor de mi cuota de prestamo para un terreno,Cat_219
reclame por no entrega dinero cajero banelco,Cat_297
que gastos cobra santander rio en los prestamos hipotecarios,Cat_231
necesito en cuotas,Cat_251
que vehiculos se pueden comprar con el credito,Cat_228
quiero un prestamo para comprar un terreno,Cat_228
siendo extranjero puedo obtener un ccredito hipotecario,Cat_248
como son los creditos personales si pido por ejemplo en meses cuota fija por se cliente son muchos loa intereses,Cat_251
el prestamo solo es para casas construidas,Cat_211
mexico telefono llamar,Cat_147
necesitar modificar gasto dolar debitar dolar peso modificacion,Cat_289
yo quisiera saber si puedo optener la tarjeta de credito del banco ya tengo la de debito,Cat_337
si hay tasas especiales para plazos fijos de mas de un millon o son las regulares,Cat_184
necesito crear,Cat_39
quien sos,Cat_14
tengo tarjeta de santander rio como hago para sumar millas en aadnatage,Cat_274
reactivacion de tarjeta,Cat_314
quiero compromiso pago,Cat_191
quisiera saber si puedo pedir un prestamo de,Cat_248
entre a trabajar hace dos meses puedo solicitar el prestamo hipotecario,Cat_248
quiero saber de los prestamos uvas y procrear me mostras la diferencia entre cada uno,Cat_202
tengo un cheque en dolares como lo puedo cobrar,Cat_30
no llegue la transferencia a mi cuenta del exterior,Cat_35
me olvide la contrasena de mi cuenta,Cat_1
me contactan de un estudio juridico por una deuda con el santander,Cat_190
aumentar extracciones,Cat_287
que documentacion tengo que presentar para mandar un pago hacia el exterior,Cat_36
usan sistema frances,Cat_252
hay tasa fija para compra de segunda vivienda,Cat_258
la tarjeta esta paga igual verdad,Cat_279
soy cliente pregunto para un prestamo prendario cuanto es el interes hoy,Cat_258
ir pagando en cuotas la deuda con la tarjeta,Cat_308
cuando se pagan los intereses de las letes,Cat_158
yo pedi la tarjeta santander llega al domicilio o tengo q ir a buscarla,Cat_293
no puedo retirar las tarjetas me las pueden mandar a otra sucursal,Cat_318
necesito solicitar o tramitar number posnet,Cat_71
quiero el descuento de colectivo de quiero saber cuales son las empresas que lo toman,Cat_311
quiero hacer stop debit,Cat_353
para solicitar el prestamo lo puedo hacer por este medio,Cat_223
cuales son los requisitos para hacer un pago al exterior,Cat_36
saber que tipo de amortizacion tienen los creditos personales,Cat_252
tengo la luz adherida al debito automatico,Cat_93
me robaron y queria saber como proceder porque estoy asegurada,Cat_265
como agrego un servicio a la agenda de pagos,Cat_132
direccion de sucursal,Cat_91
quiero obtener visa santander,Cat_337
algun nro de tel para comunicarme,Cat_147
necesito usar mi tarjeta de debito y en el posnet solicita pedir autorizacion,Cat_283
que son las tarjetas sin contacto,Cat_291
tarjeta extranjero,Cat_289
que pasa que me cobran caja de seguridad si ni siquiera la uso,Cat_92
olvide mi contrasena,Cat_1
tenia una consulta con respecto al pago de un prestamo se puede pagar en efectivo a traves de una terminal de autoservicio,Cat_239
deseo abrir una caja de ahorro en pesosss,Cat_39
puedo aumentar la linea crediticia disponible,Cat_196
que tasa de interes debo pagar por el ccredito hipotecario,Cat_258
que tiempo demora la reimpresion de mi tarjeta de debito,Cat_316
voy a usar las tarjetas en el exterior,Cat_304
me podras brindar la informacion por adherir servicios a debito automatico,Cat_132
querer cambiar contrasena acceso,Cat_1
olvide clave banelco,Cat_288
como hago una transferencia de mi caja de ahorros a mi cuenta corriente,Cat_85
quisiera enviar mi cv,Cat_102
no me pagaron la pension,Cat_37
caja de ahorro para monotributista,Cat_39
yo use el comodin de conbustible quiero saber cuando me reintegran el dinero,Cat_322
consultar saldo tarjeta american express,Cat_303
donde veo las operaciones a confirmar,Cat_343
dar de baja una cuenta universitaria,Cat_41
podemos hacer un simulacro,Cat_251
hacer recargar subir cargar dinero,Cat_129
reimpresion de tarjeta de ccredito santander,Cat_316
costo transferencia banco santander,Cat_83
necesito pagar agip,Cat_132
pero quiero obtener una clave para mi tarjeta de ccredito american express,Cat_288
no puedo pagar o extraer dinero con mi tarjeta santander,Cat_286
como hago para saber el numero de cuenta de mi tarjeta santander ccredito,Cat_344
que valor de devolucion tiene y que cuota del seguro para un samsung s plus,Cat_261
quiero cerrar mi cuenta,Cat_41
dan prestamos a monotributustas,Cat_248
queria pagarle el sueldo a un empleado pero necesito ayuda,Cat_69
soy cliente y necesito un prestamo,Cat_223
simulador de prestamo,Cat_251
quisiera saber sobre creditos personales,Cat_225
quiero saber cuales son los pagos que hice con tarjeta de credito,Cat_279
que es el coeficiente de estabilizacion de referencia,Cat_107
saber donde llegar tarjeta nueva,Cat_293
quisiera dar de baja una poliza como puedo hacerlo y donde,Cat_262
cuanto demoran en rematar la casa si no puedo pagar el prestamo hipotecario,Cat_240
me pide autorizacion de una compra por internet,Cat_283
se puede pagar una infraccion de transito por este medio,Cat_132
como pagar el limite de acuerdo,Cat_56
el cajero automatico no me dio el dinero de una extracion,Cat_297
tengo dudas sobre comisiones que cobra el banco,Cat_96
necesio pagar por pagos mis cuenta una tarjeta cencosud,Cat_132
hay alguna manera de cambiar el ciclo de mi tarjeta para que no venza los primeros dias del mes,Cat_348
canje por entrada de espectaculos superclub,Cat_322
me decis como puedo hacer para ver mi resumen de cuenta,Cat_138
donde me pueden mostrar el listado de concesionarios,Cat_223
cuales son los gastos asociados al prestamo hipotecario,Cat_231
cual es el requisito de ingresos para platinum,Cat_40
banco quiero averiguar santander,Cat_39
no me debitaron metrogas con debito automatico,Cat_129
cuanto dinero tengo disponible en el open,Cat_198
para la escritura de compra puedo poner mi propio escribano,Cat_207
quiero hacer una suscripcion de acciones de macro,Cat_151
el limite en dolares de la visa y de la american expres que tengo,Cat_303
que tengo que hacer para pedir el preacordado,Cat_223
a los que trabajan en la municipalidad dan prestamos,Cat_248
tarda mucho en hacerse efectivo un deposito,Cat_109
debitar metrogas debitar automatico,Cat_129
quiero averiguar por un prestamo pero no soy clienta,Cat_248
quiero confirmar la adhesion al debito automatico de ede,Cat_93
que beneficios tengo con infinity,Cat_311
cuales son las excepciones del servicio de asistencia al viajero,Cat_282
soy cliente y necesito un prestamo para un auto,Cat_223
queria saber cuando voy a poder cobrar una licencia,Cat_37
cuales son los principales riesgos de sacar un prestamo hipotecario con el banco,Cat_237
entro a home banking y no me permite operar,Cat_117
acceder a mi cuenta bancaria,Cat_3
acabo de hacer un canje en despegar y no me llega el voucher,Cat_333
necesito que dejen de enviarme el resumen de las inversiones,Cat_179
quiero saber que importe de cuota abonaria por un credito,Cat_251
tengo un credito prendario automotor y quiero cambiarme de aseguradora por una mas economica,Cat_262
quisieron entrar a mi casa y rompieron el vidrio como tengo que hacer que tengo que llevar al banco,Cat_265
nunca recibi la tarjeta de debito,Cat_293
margen tarjeta,Cat_303
querer monto pagar tarjeta visa,Cat_342
no puedo comprar acciones aparece un cartel previo indicando que antes tengo que aceptar las condiciones de la cuenta o algo parecido,Cat_151
voy a la univ puedo pedir una tarj,Cat_359
de que te puedo preguntar,Cat_16
quiero que me envien la poliza por mail,Cat_266
pedi una renovacion de tarjeta hace un mes y todavia no me llegue nada,Cat_293
como hago para recargar saldo en mi cel prepago con mi tarjeta de debito,Cat_132
canjee dos voucher para fly bondi pero nose como usarlos,Cat_333
necesitar pagar mastercard,Cat_342
no entender movimiento tenia,Cat_115
soy select y necesito telefono para consulta,Cat_147
querer pagar patentar auto,Cat_132
quisiera saber hasta cuanto podria sacar en credito para vivienda,Cat_251
me rebotaron la amex recien en una compra,Cat_286
numero de tel atencion al cliente,Cat_147
consultar gastar tarjeta credito,Cat_115
saque plata del cajero me desconto pero me dio menos,Cat_297
yo realice un canje por los puntos y no me llego el producto todavia quisiera saber el estado cuando me llegaria,Cat_326
donde me fijo el limite de ccredito que tengo,Cat_223
necesito pedir el descubierto,Cat_57
es posible ver el li¬=mite de compra,Cat_303
gasto mantencion,Cat_96
tarjeta enviada por correo como hago el seguimiento,Cat_293
entender resumen inversion,Cat_188
quiero informacion sobre las comisiones para comprar lebacs,Cat_96
quiero pagar tarjeta santander,Cat_342
queria seguimiento tarjeta nunca llegar,Cat_293
querer pagar impuesto online banking,Cat_132
donde puedo descargar certificado de la cuenta bancaria,Cat_42
numero telefono terminar,Cat_147
como me inscribo para los beneficios con la tarjeta,Cat_311
si no sos cliente podes acceder a un prestamo via online,Cat_248
como hago para poner metrogas en la tarjeta,Cat_132
puedo comprar un ph con el prestamo hipotecario,Cat_211
ya pasaron hs y no me habilitan saldo,Cat_279
fci nueva medida,Cat_172
hacer reclamo solucion,Cat_135
pagar programar abonar afip debitar correctamente motivo,Cat_129
como puedo sacar el resumen,Cat_138
pagar tarjeta,Cat_342
necesito depositar un cheque en dolares,Cat_30
querer pagar tarjeta naranja este sistema,Cat_132
cuantas chequeras puedo pedir,Cat_44
como acumulo millas,Cat_274
por un cobro de la tarjeta que nunca me dijeron que tenia mantenimiento y la voy a dar de baja,Cat_338
cual es el santander rio mas cercano,Cat_91
que pasa se dejo de pagar la tarjeta de credito,Cat_351
son fijas las cuotas,Cat_219
como es el proceso para solicitar un prestamo,Cat_241
si nesecito ver mi resumen,Cat_138
cuanto es el ingreso minimo para se cliente platinum,Cat_40
necesito pagar un tramite site de la dnrpa,Cat_132
buenas noches,Cat_19
robo en domicilio,Cat_265
limite comprar tarjeta platinun,Cat_303
el monto del prestamo personal que debi abonar es el mismo o ya tiene un recargo,Cat_240
querer marido cotitular,Cat_38
solicite un credito hace mas de diez dias,Cat_215
necesitaria un prestamo de yo soy cliente santander,Cat_223
quisiera saber el vencimiento de mi tarjeta santander rio vissa,Cat_341
decime el valor de cuota parte del renta fija al,Cat_174
como comprar lebac,Cat_157
como hago para cambiar clave y usuario,Cat_1
puedo sacar otro prestamo,Cat_218
la tarjeta de debito visa suma puntos,Cat_323
quiero regularizar mi credito prendario,Cat_192
cuentan con lineas de prestamos hipotecarios para refaccion de viviendas,Cat_228
no quiero que me notifiquen de las inversiones con ese resumen,Cat_179
que puedo hacer con los dolares en mi cuenta,Cat_178
se puede incrementar el monto a extraer del cajero,Cat_287
puedo agregar despues dinero a este fondo,Cat_176
retirar descubierto,Cat_56
en que estado esta el envio de mi tarjeta,Cat_293
quisiera saber si tengo una tarjeta a mi nombre,Cat_61
obtener resumen,Cat_138
retiro de efectivo por caja,Cat_128
como puedo acceder al prestamo para comprar un auto,Cat_223
me entraron y me robaron el televisor que hago,Cat_265
benficios visa women,Cat_357
desear ver estado distribucion plastico,Cat_293
necesito dinero para refaccion de mi casa actual,Cat_228
quiero simular cuanto es la cuota de mi credito hipotecario,Cat_251
nesecito movimiento,Cat_50
que instrucciones debo seguir para recibir fondos desde el exterior,Cat_32
que beneficios tengo si acredito mi sueldo en santander rio,Cat_72
querer gestionar clave operar internet,Cat_1
pagar tarjeta credito debitar monto nuevamente,Cat_350
alerta saldar,Cat_125
no me devueven ningun codigo sms,Cat_1
quiero simular un credito para comprar auto,Cat_251
ese traspaso se hizo de manera automatic,Cat_85
quisiera saber porque me estan cobrando imp ley deb,Cat_122
como veo mis servicios adheridos a debito automatico en tarjeta,Cat_93
como hago para canjear cupones de banco macro por acciones,Cat_151
refinanciacion de deuda de tarjetas,Cat_308
necesito rescatar cuando podre hacerlo,Cat_175
querer saldar total deber tarjeta,Cat_342
telefono para refinaciar la tarjeta,Cat_308
me quiero hacer cliente,Cat_39
tengo que alquilar pero necesto un garante ustedes tienen un seguro de caucion,Cat_261
quiero dar de baja a la tarjeta de ccredito,Cat_338
telefono visa,Cat_147
ver resumen de tarjeta,Cat_138
para solictar los ultimos movimientos de los meses,Cat_50
yo cobro la jubilacion puedo comprar en las farmacias con el descuento,Cat_311
como puedo modificar el dia que me vence el resumen,Cat_348
querer reclamar tarjeta llegar,Cat_293
como doy de baja a un cotitular de mi cuenta,Cat_38
en el calculo de ingresos de un prestamo hipotecario tengo que sumar o no lo de impuesto a las ganancias,Cat_249
cual es el costo por una certificacion de firma,Cat_94
dar de baja correo,Cat_103
cargar datos de una denuncia de seguro,Cat_265
si yo cobro mi sueldo por otro banco que tramites tengo que hacer para pedir un prestamo hipotecario,Cat_238
habian debitar automatico tarjeta visa amex,Cat_38
necesito cambiar el numero de telefono asociado a mi cuenta,Cat_103
seguir envio,Cat_293
la solicitud de un prestamo hipotecario tiene algun costo,Cat_223
pago de haberes,Cat_69
una consulta cual es el costo de extraer efectivo en el extranjero,Cat_96
no puedo generar mi clave personal,Cat_1
baja programa woman,Cat_357
como reponer la tarjeta,Cat_316
quiera saber si tengo que habilitar mi tarjeta de debito santander universidades para el uso en el exterior ya que en esta semana viajo a peru,Cat_304
quiero hacer una tranferencia desde mi celular a un cbu de otra persona con cuenta en el banco galicia y no me deja hacerlo,Cat_80
para el prestamo toman en cuenta el valor que da el tasador o el de la inmobiliaria,Cat_217
prestamo para una unidad usada de no mas de aanos,Cat_228
cual es el costo del seguro de una casa,Cat_261
como y cuando se acredita el dinero del prestamo hipotecario,Cat_226
como puedo pedir que me envien un paquete de productos a otra sucursal,Cat_318
costo del servicio por operar en red banelco,Cat_96
domicilio asegurar anteriormente quiero cambiar,Cat_267
necesitaria hacer una transferencia de mi cuenta en usd a mi cuenta en pesos,Cat_166
puedo elegir que dia del mes pagar la cuota del prestamo hipotecario,Cat_259
se puede tener otro ccredito aparte de este,Cat_218
necesito pagar un tramite site de la dnrpa,Cat_132
no tengo puntos superclub en mi cuenta aun estado utilizando la tarjeta de credito,Cat_325
necesitar adherir aysa tarjeta,Cat_132
paquete disponible,Cat_39
quiero saber si tengo que retirar la tarjeta en alguna sucursal,Cat_293
que tendria que hacer para acumular millas con las tarjetas de advantage,Cat_274
no me llego una transferencia que me hicieron del exterior y la necesito cuanto antes,Cat_33
donde encuentro la opcion para comprar letes,Cat_157
para solicitar un prestamo personal es requisito tener antigi¬=¬=¬=¬=¬oedad como cliente del banco,Cat_220
necesito un numero de telefono,Cat_147
como calculo los ingresos como monotribustista para obtener un prestamo hipotecario,Cat_249
quisiera saber y modificar el porcentaje del limite de la tarjeta de credito que tengo el adicional,Cat_335
que compras me permiten acumular millas,Cat_274
no se cuanto tengo que pagar de la tarjeta,Cat_342
quiero un seguro en caso que me roben el celular,Cat_261
como puedo desbloquear la clave cajero,Cat_288
ustedes me aplican una comision por la transferencia,Cat_83
suscribir tipo aviso,Cat_125
ayer pague edesur por error cuando ya lo habia pagado por otros medios como hago para anular el pago,Cat_129
contacto telefonico de santander rio,Cat_147
que idioma sabes hablar,Cat_20
podrias darme informacion sobre los prestamos del banco,Cat_225
cuando me avilitan latarjeta ya pague el plan de pago,Cat_314
pago atrasado tarjeta,Cat_349
estoy empezando que hago,Cat_10
necesito aumentar mi paquete y pasarme a otro tipo de cuenta,Cat_86
pago por homebanking,Cat_132
que billetes acepta el cajero automatico,Cat_110
necesito llamen deuda,Cat_194
cual es la tassa de hipotecarios uvas,Cat_258
yo tenia debito automatico para monotributo modifique mi situacion y esa modificacion no se tradujo en el debito,Cat_129
me atrase cuotas en el credito prendario necesito regularizar la deuda,Cat_192
acabo de ir a buscar una tarjeta de debito y no se mi clave como la puedo recuperar,Cat_288
necesito saber la escribania que tengo asignada para la cancelacion d ela hipoteca,Cat_207
algun telefono llamar,Cat_147
me tienen que dar una autorizacion para vender el auto del prestamo,Cat_260
me simulas el credito de,Cat_251
tener pasar retirar plasticos,Cat_293
hay algun costo por operar con acciones y bonos,Cat_96
tengo number tarjetas con el mismo nombre,Cat_309
soy monotributista hasta cuanta plata me darian en un prestamo personal,Cat_251
donde estan los plasticos de las tarjetas visa y american,Cat_293
como puedo saber mi situacion,Cat_99
queria saber como hago para autorizar la tarjeta para usarla en estado unidos,Cat_304
la pagina para pedir tarjetas nuevas no me deja avanzar,Cat_4
preciso el te de comercio exterior para ayudarme con una transferencia al exterior,Cat_36
no me funciona la tarjeta,Cat_286
quiero saber si los plasticos llegaron a la sucursal,Cat_293
como hago para saber si tengo saldo utilizable en mi tarjeta,Cat_303
querer hacer reclamar cajero,Cat_297
quiero financiar una compra que hice con la tarjeta,Cat_308
deterioro de tarjeta,Cat_316
cuenta la pagina con un simulador para prestamos personales,Cat_251
por que me estan faltando acciones,Cat_153
como obtengo la tarjeta santander rio visa,Cat_337
cambiar importe debito automatico tarjeta,Cat_345
alta de cuenta,Cat_39
que operaciones puedo hacer por ventanilla de una sucursal,Cat_128
uvas,Cat_108
prestamo preacordado,Cat_225
consultar disponible tarjeta,Cat_303
antes de ayer bloquee mi tarjeta de debito ya que la extravie quisiera saber que tengo que hacer para la reposicion,Cat_316
pagar pagina,Cat_129
quiero recargar saldo a un celular,Cat_132
le puse gnc al auto lo tengo que agregar en el seguro,Cat_268
caida de cuotas donde se hace,Cat_339
yo ya tenia un numero de socio advantage ahora tengo dos,Cat_278
me vino pesos en la tarjeta de credito con santander rio advantage,Cat_276
que tramite tengo que hacer para dar de baja a las tarjetas,Cat_338
necesito pagar mi tarjeta y no tengo la factura como hago,Cat_342
si se puede pedir un adelanto con la tarjeta de debito,Cat_57
como pago mi tarjeta santander credito,Cat_342
queria informarme si el producto canjeadome lo enviaban,Cat_322
que es un bono,Cat_159
necesito una nueva tarjeta de coordenadas,Cat_5
comunico cancele deuda tarjeta,Cat_195
quiero estender limitar estraccion,Cat_287
sobre la tarjeta visa black costos,Cat_340
que debitos automaticos tengo,Cat_93
necesito realizar una transferencia a una cuenta,Cat_83
solicitar tarjeta todavia no llegar,Cat_293
quiero saber el resumen de tarjeta de credito,Cat_138
se puede sacar el prestamo por internet,Cat_223
comodin conbustible querer reintegrar dinero,Cat_312
quiero obtener mi credito personal,Cat_223
me bloquearon la cuenta titulo y preciso desbloquearla cuanto antes,Cat_170
puse en debito mis servicios y los mismos no fueron debitados,Cat_129
y aun no le llega al destinatario puede ser,Cat_77
hace una semana pacte que pasen a buscar mis papeles para la tarjeta,Cat_317
generar cambiar usuario tomar,Cat_1
ya tengo escribania propia,Cat_207
no recibi la tarjeta de credito,Cat_293
donde retiro la chequera que solicite,Cat_45
clave cajero automatico,Cat_288
les consulto horario de los cajeros autoservicio,Cat_91
soy cliente del banco y quiero saber si puedo comprar dolares por ventanilla,Cat_166
necesito hacerme gratuito universal,Cat_39
documentacion necesito apertura corriente personar fisica,Cat_39
olvide mi clave como puedo blanquearla,Cat_1
adheciom de transferencia a terceros,Cat_79
cerrar cuenta sueldo,Cat_41
reclamo de extension de tajreta que no llego,Cat_293
quiero dar de baja una transferencia que programe,Cat_81
reeimprimir tarjeta,Cat_316
como obtengo el ccredito,Cat_223
no me descontaron el pago de la tarjeta que tenia en debito automatico,Cat_346
debo comunicarme reclamar,Cat_135
por que me bloquearon la cuenta comitente,Cat_170
me llamaron dos veces diciendo que no se acredito mi ultimo pago,Cat_146
bajo cuenta online,Cat_41
la tasacion demora mucho,Cat_216
quiero consultar sobre los fondos de inversion,Cat_173
quiero dejar recibir mensaje banco,Cat_125
queria saber cuanto sale la renovacion de la tarjeta,Cat_340
consultar limite extracion exterior,Cat_303
quiero ser cliente de santander,Cat_39
me gustaria recibir el resumen de las tarjetas de ccredito soy el adicional,Cat_138
se puede blanquear la clave de afip,Cat_95
se me debitaron las tarjetas este mes,Cat_279
descuento a jubilados en farmacias,Cat_311
me podes dar las fechas de las proximas lebacs,Cat_156
activar las tarjetaws para usarlas en chile,Cat_304
en el procrear puedo sumar ingresos con el grupo familiar,Cat_254
retirar tarjeta debito,Cat_293
hace rato que canjee un producto y no tengo noticias,Cat_326
debitar boleta,Cat_129
quiero informacion para solicitar un prestamo hipotecario,Cat_225
me mandaron un mensaje que tengo una deuda con santander,Cat_193
quiero sacar un prestamo pero cobro en negro,Cat_233
tarjeta santander visa,Cat_147
realice una transferencia internacional pero me figura guardada,Cat_35
queria saber si hay q sacar una tarjeta especial para realizar la operacion de extracion en otro pais,Cat_298
yo no soy cliente como puedo hacer la tarjeta,Cat_337
limite comprar tarjeta platinun,Cat_303
los gastos de escribania debo contar con el dinero extra o puede estar incluido al monto que me prestan,Cat_210
cambiar clave,Cat_1
quiero instrucciones de como hacerme la cuenta,Cat_39
cuando me llega la clave banelco,Cat_288
necesito un hipotecario,Cat_223
por que me mandan una tarjeta si yo no la pedi,Cat_310
bloquear home banquing,Cat_1
que pasa si a futuro la cuota del prestamo hipotecario supera el de mis ingresos,Cat_249
puedo hacer un plan de pago con el saldo que tengo atrasado,Cat_120
quisera cambiar la tarjeta de debito,Cat_316
algun numero llamar,Cat_147
diferenciar paquete infinity gold,Cat_39
numero llamar comunicarme interior informacion,Cat_147
quiero adherir tarjeta debito automatico,Cat_345
quiero consultarles el reintegro de como se considera el tope,Cat_311
pagar gasto dolar,Cat_307
por que siempre me pide token para hacer operaciones,Cat_5
consultar saldar tarjeta debito,Cat_50
debitar aysa fondo visualizar pagar debitar fondo,Cat_129
no soy cliente como puedo averiguar por un prestamos,Cat_248
cambio de limites,Cat_302
me acreditan el sueldo en otro banco hay problema con eso para pedir un prestamo hipotecario,Cat_238
hoy no pude sacar mi dinero de los cajeros automaticos por me exigen una clave alfabetica sin previo aviso,Cat_288
me voy a quejar,Cat_133
que tengo que llevar para extraer plata por ventanilla,Cat_128
me dejaron una visa en casa que tengo que hacer para activarla,Cat_301
tuve problemas con el canje que me llegue con fallas,Cat_329
estoy queriendo realizar dos pagos de impuestos y no me lo permite hay algun problema con el sistema,Cat_117
quiero informacion de becas academicas,Cat_358
como es tu funcionamiento,Cat_13
queria consultar como funciona el prestamo,Cat_225
saldo de la cta unica en pesos,Cat_50
quiero consultar sobre mi seguro,Cat_271
que diferencia hay entre el prestamo uvas del santander y procrear,Cat_202
necesito cambiar importe debito amex,Cat_345
cual es el porcentaje de financiacion para la compra de vivienda con el prestamo procrear,Cat_245
costo transferencia dolar banco,Cat_83
super prestamo santander rio,Cat_225
necesito el pin de la tarjeta de ccredito,Cat_288
por que no me acreditan la devolucion del iva,Cat_58
que sabes hacer,Cat_16
me mandaron un mail para decirme que ingrese mis datos de caja de valores,Cat_164
