Pregunta,Intencion,Pregunta_T1,clean_txt,clean_txt_T1
donde pago la cuota del prestamo personal?,Cat_239,¿Dónde pago la tarifa del préstamo personal?,donde pago la cuota del prestamo personal,donde pago la tarifa del prestamo personal
tengo un atraso en el pago de mi tarjeta,Cat_192,Tengo un retraso en el pago de mi tarjeta,tengo un atraso en el pago de mi tarjeta,tengo un retraso en el pago de mi tarjeta
en que casas de ropa va a haber promo?,Cat_311,¿En qué tiendas de ropa habrá una promoción?,en que casas de ropa va a haber promo,en que tiendas de ropa habra una promocion
deseo ver el estado de distribución del plástico,Cat_293,Quiero ver el estado de distribución del plástico.,deseo ver el estado de distribucion del plastico,quiero ver el estado de distribucion del plastico
tardar reponer tarjeta debito,Cat_293,retrasar la recarga de la tarjeta de débito,tardar reponer tarjeta debito,retrasar la recarga de la tarjeta de debito
algun costo abrir fondo comun invercion,Cat_96,algún costo para abrir el fondo común de inversión,algun costo abrir fondo comun invercion,algun costo para abrir el fondo comun de inversion
cuándo se hace la liquidación de letras del tesoro,Cat_158,cuando es la liquidación de letras del tesoro,cuando se hace la liquidacion de letras del tesoro,cuando es la liquidacion de letras del tesoro
necesitar saber cuanto pagar tarjeta,Cat_342,necesita saber cuánto pagar con tarjeta,necesitar saber cuanto pagar tarjeta,necesita saber cuanto pagar con tarjeta
cambiar moneda tarjeta debitar exterior,Cat_289,cambiar moneda tarjeta de débito en el extranjero,cambiar moneda tarjeta debitar exterior,cambiar moneda tarjeta de debito en el extranjero
hablilitacion para compras al exterior,Cat_304,calificación para compras en el extranjero,hablilitacion para compras al exterior,calificacion para compras en el extranjero
es posible anular el canje?,Cat_331,¿Es posible cancelar el intercambio?,es posible anular el canje,es posible cancelar el intercambio
puedo abrirme una cuenta si vivo en el extranjero,Cat_39,¿Puedo abrir una cuenta si vivo en el extranjero?,puedo abrirme una cuenta si vivo en el extranjero,puedo abrir una cuenta si vivo en el extranjero
que tengo en debito automatico,Cat_93,que tengo en débito automático,que tengo en debito automatico,que tengo en debito automatico
quisiera solicitar la tarjeta visa internacional,Cat_337,Me gustaría solicitar la tarjeta de visa internacional,quisiera solicitar la tarjeta visa internacional,me gustaria solicitar la tarjeta de visa internacional
quiero poner mi ahorro en plazo fijo a dias,Cat_181,Quiero poner mis ahorros en términos fijos a días,quiero poner mi ahorro en plazo fijo a dias,quiero poner mis ahorros en terminos fijos a dias
no me atienden por telefono y quiero dar de baja la tarjeta de ccredito,Cat_338,No recibo servicio por teléfono y deseo cancelar la suscripción de la tarjeta de crédito,no me atienden por telefono y quiero dar de baja la tarjeta de ccredito,no recibo servicio por telefono y deseo cancelar la suscripcion de la tarjeta de credito
quiero abonar un servicio de dnrap y no me figura,Cat_132,Quiero pagar un servicio dnrap y no lo sé,quiero abonar un servicio de dnrap y no me figura,quiero pagar un servicio dnrap y no lo se
consultar saldar,Cat_50,consultar pagar,consultar saldar,consultar pagar
perdi mi tarjeta visa santander . a que número telefonico debo comunicarme?,Cat_294,Perdí mi tarjeta de visa santander. ¿Con qué número de teléfono debo contactar?,perdi mi tarjeta visa santander a que numero telefonico debo comunicarme,perdi mi tarjeta de visa santander con que numero de telefono debo contactar
prestamos prendarios para motos tienen,Cat_228,Los préstamos de compromiso para motocicletas tienen,prestamos prendarios para motos tienen,los prestamos de compromiso para motocicletas tienen
reintegro pago servicios,Cat_312,servicios de pago de reembolso,reintegro pago servicios,servicios de pago de reembolso
dependo de la tasacion para ver el capital a solicitar?,Cat_216,¿Depende de la tasación para ver el capital que solicito?,dependo de la tasacion para ver el capital a solicitar,depende de la tasacion para ver el capital que solicito
numero de telefono,Cat_147,número de teléfono,numero de telefono,numero de telefono
como hago para sacar dinero del cajero automatico,Cat_298,¿Cómo retiro dinero del cajero automático?,como hago para sacar dinero del cajero automatico,como retiro dinero del cajero automatico
el cajero automatico me indico un descubierto erroneo.,Cat_56,El cajero automático me indicó un descubrimiento erróneo.,el cajero automatico me indico un descubierto erroneo,el cajero automatico me indico un descubrimiento erroneo
vos me podes tomar un reclamo?,Cat_135,¿Puedes tomar un reclamo?,vos me podes tomar un reclamo,puedes tomar un reclamo
me enviaron mis premios pero no estaba en casa y jamás volvieron a enviarlos,Cat_326,me enviaron mis premios pero no estaba en casa y nunca me los enviaron de nuevo,me enviaron mis premios pero no estaba en casa y jamas volvieron a enviarlos,me enviaron mis premios pero no estaba en casa y nunca me los enviaron de nuevo
quiero solicitar la tarjeta de credito,Cat_337,Quiero solicitar la tarjeta de credito,quiero solicitar la tarjeta de credito,quiero solicitar la tarjeta de credito
no se acreditaban los bonos vencidos días atrás?,Cat_161,¿No se acreditaron los bonos vencidos?,no se acreditaban los bonos vencidos dias atras,no se acreditaron los bonos vencidos
para pagar los impuestos con la visa,Cat_132,pagar los impuestos con la visa,para pagar los impuestos con la visa,pagar los impuestos con la visa
queria extender la fecha de cierre de la visa.,Cat_348,Quería extender la fecha de cierre de la visa.,queria extender la fecha de cierre de la visa,queria extender la fecha de cierre de la visa
necesito adquirir tarjeta visa,Cat_337,Necesito adquirir una tarjeta visa,necesito adquirir tarjeta visa,necesito adquirir una tarjeta visa
quisiera saber si estan otorgando creditos personales,Cat_225,Me gustaría saber si está otorgando créditos personales,quisiera saber si estan otorgando creditos personales,me gustaria saber si esta otorgando creditos personales
no puedo realizar un pago con tarjeta de credito,Cat_286,No puedo hacer un pago con tarjeta de crédito.,no puedo realizar un pago con tarjeta de credito,no puedo hacer un pago con tarjeta de credito
extender limite de descubierto,Cat_57,extender el límite de sobregiro,extender limite de descubierto,extender el limite de sobregiro
tasa fija hay para compra de vivienda?,Cat_258,tasa fija para la compra de una casa?,tasa fija hay para compra de vivienda,tasa fija para la compra de una casa
cuanto interés tiene el plan v,Cat_308,cuánto interés tiene el plan v,cuanto interes tiene el plan v,cuanto interes tiene el plan v
como hago para quitar un debito automatico?,Cat_89,¿Cómo puedo eliminar un débito automático?,como hago para quitar un debito automatico,como puedo eliminar un debito automatico
me llego mens q tengo q renovar mis claves y no se como hacerlo.,Cat_1,Recibí un mensaje de que tengo que renovar mis contraseñas y no sé cómo hacerlo.,me llego mens q tengo q renovar mis claves y no se como hacerlo,recibi un mensaje de que tengo que renovar mis contrasenas y no se como hacerlo
por que no puedo transferir usd por home banking?,Cat_80,¿Por qué no puedo transferir usd a través de la banca local?,por que no puedo transferir usd por home banking,por que no puedo transferir usd a traves de la banca local
si quiero sacar plata en el exterior con la tarjeta de ccredito como tengo que hacer?,Cat_298,"Si deseo retirar dinero en el extranjero con la tarjeta de crédito, ¿cómo debo hacerlo?",si quiero sacar plata en el exterior con la tarjeta de ccredito como tengo que hacer,si deseo retirar dinero en el extranjero con la tarjeta de credito como debo hacerlo
debito automatico servicios,Cat_132,servicios de débito automáticos,debito automatico servicios,servicios de debito automaticos
quiero retirar la tarjeta en la sucursal de barracas,Cat_318,Quiero retirar la tarjeta en la sucursal de barracas,quiero retirar la tarjeta en la sucursal de barracas,quiero retirar la tarjeta en la sucursal de barracas
cómo puedo hacer para sacar un préstamo?,Cat_223,¿Cómo puedo obtener un préstamo?,como puedo hacer para sacar un prestamo,como puedo obtener un prestamo
como cambiar mi pasaporte a dni,Cat_103,como cambiar mi pasaporte a dni,como cambiar mi pasaporte a dni,como cambiar mi pasaporte a dni
hacen comercio exterior en santander rio?,Cat_36,¿Haces comercio exterior en Santander Rio?,hacen comercio exterior en santander rio,haces comercio exterior en santander rio
plastico tarjeta sucursal,Cat_293,tarjeta de rama de plástico,plastico tarjeta sucursal,tarjeta de rama de plastico
no aparece en online banking quien es mi ejecutivo,Cat_126,quien es mi ejecutivo no aparece en la banca en línea,no aparece en online banking quien es mi ejecutivo,quien es mi ejecutivo no aparece en la banca en linea
donde puedo buscartenencias,Cat_67,donde puedo buscar pertenencias,donde puedo buscartenencias,donde puedo buscar pertenencias
requisito abrir bancario,Cat_39,requisito de apertura bancaria,requisito abrir bancario,requisito de apertura bancaria
como recupero mi cuenta bloqueda?,Cat_51,¿Cómo recupero mi cuenta bloqueada?,como recupero mi cuenta bloqueda,como recupero mi cuenta bloqueada
quiero sacar la tarjeta visa recarga. q costo tiene,Cat_313,Quiero obtener la tarjeta de recarga de visa. que costo tiene,quiero sacar la tarjeta visa recarga q costo tiene,quiero obtener la tarjeta de recarga de visa que costo tiene
reintegrar plata punto canjear,Cat_312,reembolso punto de plata canjear,reintegrar plata punto canjear,reembolso punto de plata canjear
adquerir tarjeta,Cat_337,adquirir tarjeta,adquerir tarjeta,adquirir tarjeta
comprar una vivienda,Cat_228,comprar una casa,comprar una vivienda,comprar una casa
quiero pagar desde mi caja de ahorro en dolares,Cat_307,Quiero pagar de mi caja de ahorros en dólares,quiero pagar desde mi caja de ahorro en dolares,quiero pagar de mi caja de ahorros en dolares
cupo tarjeta credito,Cat_303,espacio de tarjeta de crédito,cupo tarjeta credito,espacio de tarjeta de credito
cuál es la tasa por un acuerdo de sobregiro?,Cat_56,¿Cuál es la tarifa por un acuerdo de sobregiro?,cual es la tasa por un acuerdo de sobregiro,cual es la tarifa por un acuerdo de sobregiro
el dinero del prestamo hipotecario se deposita en varios desembolsos?,Cat_226,¿El dinero del préstamo hipotecario se deposita en varios desembolsos?,el dinero del prestamo hipotecario se deposita en varios desembolsos,el dinero del prestamo hipotecario se deposita en varios desembolsos
me mandaron un voucher vencido,Cat_333,me enviaron un cupón vencido,me mandaron un voucher vencido,me enviaron un cupon vencido
ccredito personal,Cat_225,crédito personal,ccredito personal,credito personal
y para trabajar en santander?,Cat_102,y para trabajar en santander?,y para trabajar en santander,y para trabajar en santander
queria hacer una consulta sobre un cheque depositado el viernes pasado y que vino rechazado. se puede saber el motivo?,Cat_47,Quería hacer una consulta sobre un cheque depositado el viernes pasado que fue rechazado. puedes saber el motivo?,queria hacer una consulta sobre un cheque depositado el viernes pasado y que vino rechazado se puede saber el motivo,queria hacer una consulta sobre un cheque depositado el viernes pasado que fue rechazado puedes saber el motivo
saber monto abonar tarjeta santander visa,Cat_342,saber monto pagar tarjeta visa santander,saber monto abonar tarjeta santander visa,saber monto pagar tarjeta visa santander
que papeles necesito para pedir un prendario,Cat_247,¿Qué documentos necesito para pedir una promesa?,que papeles necesito para pedir un prendario,que documentos necesito para pedir una promesa
pagar servicio home banking tarjeta credito edenor,Cat_132,pagar servicio bancario en casa tarjeta de crédito edenor,pagar servicio home banking tarjeta credito edenor,pagar servicio bancario en casa tarjeta de credito edenor
como me doy cuenta si estoy sumando puntos superclub?,Cat_325,¿Cómo sé si estoy agregando puntos de súper club?,como me doy cuenta si estoy sumando puntos superclub,como se si estoy agregando puntos de super club
mis conumos del mes?,Cat_138,mi consumo del mes?,mis conumos del mes,mi consumo del mes
buenos dias,Cat_19,Buenos días,buenos dias,buenos dias
debo recibir plata en mi cuenta desde el exterior y aún no la recibí,Cat_33,Debo recibir dinero en mi cuenta desde el extranjero y todavía no lo he recibido.,debo recibir plata en mi cuenta desde el exterior y aun no la recibi,debo recibir dinero en mi cuenta desde el extranjero y todavia no lo he recibido
como usar esto,Cat_10,como usar esto,como usar esto,como usar esto
soy jubilada y cobro x el banco.quiero saber el listado de farmacias q hacen el descuento de 25%.como sale en la propaganda de tv,Cat_311,Estoy retirado y cobro el banco. Quiero saber la lista de farmacias que hacen el descuento del 25%. Como aparece en la publicidad televisiva,soy jubilada y cobro x el banco quiero saber el listado de farmacias q hacen el descuento de number como sale en la propaganda de tv,estoy retirado y cobro el banco quiero saber la lista de farmacias que hacen el descuento del number como aparece en la publicidad televisiva
donde apuntó mis datos personales para saber si puedo acceder al prestamo,Cat_248,donde escribió mis datos personales para saber si puedo acceder al préstamo,donde apunto mis datos personales para saber si puedo acceder al prestamo,donde escribio mis datos personales para saber si puedo acceder al prestamo
aparece debitaron erróneo,Cat_112,parece cargado incorrectamente,aparece debitaron erroneo,parece cargado incorrectamente
en el paseo alcorta no aplican la promocion del super miercoles mujer,Cat_311,en la caminata de alcorta no aplican la promoción de la súper miercoles,en el paseo alcorta no aplican la promocion del super miercoles mujer,en la caminata de alcorta no aplican la promocion de la super miercoles
a que número puedo llamar para un préstamo personal,Cat_223,¿A qué número puedo llamar para un préstamo personal?,a que numero puedo llamar para un prestamo personal,a que numero puedo llamar para un prestamo personal
cómo hago para comprar títulos públicos?,Cat_157,¿Cómo puedo comprar valores gubernamentales?,como hago para comprar titulos publicos,como puedo comprar valores gubernamentales
recien me llamaron veces! sera por el tema del traspaso de mi cuenta?,Cat_146,¡Me acaban de llamar veces! ¿Podría ser debido a la transferencia de mi cuenta?,recien me llamaron veces sera por el tema del traspaso de mi cuenta,me acaban de llamar veces podria ser debido a la transferencia de mi cuenta
como se si mi tarjeta llego ala sucursal?,Cat_293,¿Cómo sé si mi tarjeta llega a la sucursal?,como se si mi tarjeta llego ala sucursal,como se si mi tarjeta llega a la sucursal
como es el financiamiento una vez que hacer el pago mínimo?,Cat_308,¿Cómo es el financiamiento una vez que realiza el pago mínimo?,como es el financiamiento una vez que hacer el pago minimo,como es el financiamiento una vez que realiza el pago minimo
tengo un problema con el calefón  no funciona. tengo cobertura por eso?,Cat_265,Tengo un problema con el calentador de agua que no funciona. ¿Tengo cobertura para eso?,tengo un problema con el calefon no funciona tengo cobertura por eso,tengo un problema con el calentador de agua que no funciona tengo cobertura para eso
me dice que la tarjeta esta bloqueada.,Cat_286,me dice que la tarjeta está bloqueada,me dice que la tarjeta esta bloqueada,me dice que la tarjeta esta bloqueada
simulación de super prestamo santander rio,Cat_251,simulación de super préstamo santander rio,simulacion de super prestamo santander rio,simulacion de super prestamo santander rio
como puedo saver si depocitaron dinero a mi nombre,Cat_50,¿Cómo puedo saber si depositaron dinero a mi nombre?,como puedo saver si depocitaron dinero a mi nombre,como puedo saber si depositaron dinero a mi nombre
porque no aparece la tarjeta como pagada,Cat_279,porque la tarjeta no aparece como pagada,porque no aparece la tarjeta como pagada,porque la tarjeta no aparece como pagada
comision extraccion exterior,Cat_96,Comisión de extracción externa,comision extraccion exterior,comision de extraccion externa
compra exterior dolares tarjeta visa pagar pesos,Cat_307,compra en el extranjero dólares tarjeta visa pagar pesos,compra exterior dolares tarjeta visa pagar pesos,compra en el extranjero dolares tarjeta visa pagar pesos
me robó la empleada doméstica  tengo cobertura?,Cat_265,"la trabajadora doméstica me robó, ¿tengo cobertura?",me robo la empleada domestica tengo cobertura,la trabajadora domestica me robo tengo cobertura
activacion de extension,Cat_301,activación de extensión,activacion de extension,activacion de extension
ccredito preacordado,Cat_225,crédito preestablecido,ccredito preacordado,credito preestablecido
querer pagar parcial tarjeta visa,Cat_342,quiere pagar una tarjeta de visa parcial,querer pagar parcial tarjeta visa,quiere pagar una tarjeta de visa parcial
como puedo canjear los puntos,Cat_322,¿Cómo puedo canjear puntos?,como puedo canjear los puntos,como puedo canjear puntos
puedo solicitar un prestamo personal para hacer arreglos en mi casa?,Cat_228,¿Puedo solicitar un préstamo personal para hacer arreglos en mi casa?,puedo solicitar un prestamo personal para hacer arreglos en mi casa,puedo solicitar un prestamo personal para hacer arreglos en mi casa
como puedo saber cual es el nro de socio advantage?,Cat_275,¿Cómo puedo saber cuál es el número de socio de ventaja?,como puedo saber cual es el nro de socio advantage,como puedo saber cual es el numero de socio de ventaja
llamar exterior,Cat_147,llamar afuera,llamar exterior,llamar afuera
querer darme bajo,Cat_41,quieres darme baja,querer darme bajo,quieres darme baja
adherir a american airlines con visa,Cat_299,unirse a American Airlines con visa,adherir a american airlines con visa,unirse a american airlines con visa
reintegro debito pago de servicio,Cat_312,reembolso servicio de débito pago,reintegro debito pago de servicio,reembolso servicio de debito pago
como es un ejemplo para un préstamo hipotecario ajustable?,Cat_229,¿Cómo es un ejemplo para un préstamo hipotecario ajustable?,como es un ejemplo para un prestamo hipotecario ajustable,como es un ejemplo para un prestamo hipotecario ajustable
queria consultar si puedo pedir un prestamo personal,Cat_248,Quería ver si puedo pedir un préstamo personal,queria consultar si puedo pedir un prestamo personal,queria ver si puedo pedir un prestamo personal
queria consultar si tengo algún préstamo disponible pra mi.,Cat_223,Quería ver si tengo un préstamo disponible para mí.,queria consultar si tengo algun prestamo disponible pra mi,queria ver si tengo un prestamo disponible para mi
quiero cambiar mi tarjeta a contactless,Cat_291,Quiero cambiar mi tarjeta a sin contacto,quiero cambiar mi tarjeta a contactless,quiero cambiar mi tarjeta a sin contacto
alguien me pude decir para que es el programa advantage,Cat_277,alguien puede decirme para qué sirve el programa de ventajas,alguien me pude decir para que es el programa advantage,alguien puede decirme para que sirve el programa de ventajas
cual sería el valor de mi cuota de prestamo para un terreno,Cat_219,¿Cuál sería el valor de la cuota de mi préstamo para un terreno?,cual seria el valor de mi cuota de prestamo para un terreno,cual seria el valor de la cuota de mi prestamo para un terreno
reclame por no entrega dinero cajero banelco,Cat_297,reclamación por canel de dinero no entrega banelco,reclame por no entrega dinero cajero banelco,reclamacion por canel de dinero no entrega banelco
que gastos cobra santander rio en los prestamos hipotecarios?,Cat_231,¿Qué gastos cobra Santander Rio por los préstamos hipotecarios?,que gastos cobra santander rio en los prestamos hipotecarios,que gastos cobra santander rio por los prestamos hipotecarios
necesito en cuotas,Cat_251,Necesito en cuotas,necesito en cuotas,necesito en cuotas
que vehiculos se pueden comprar con el credito,Cat_228,qué vehículos se pueden comprar con el crédito,que vehiculos se pueden comprar con el credito,que vehiculos se pueden comprar con el credito
quiero un préstamo para comprar un terreno,Cat_228,Quiero un préstamo para comprar un terreno.,quiero un prestamo para comprar un terreno,quiero un prestamo para comprar un terreno
siendo extranjero puedo obtener un ccredito hipotecario,Cat_248,siendo extranjero puedo obtener una hipoteca,siendo extranjero puedo obtener un ccredito hipotecario,siendo extranjero puedo obtener una hipoteca
como son los creditos personales si pido por ejemplo en meses cuota fija por se cliente son muchos loa intereses ?,Cat_251,"¿Cómo son los créditos personales si solicito, por ejemplo, en meses, una tarifa fija por cliente, hay muchos intereses?",como son los creditos personales si pido por ejemplo en meses cuota fija por se cliente son muchos loa intereses,como son los creditos personales si solicito por ejemplo en meses una tarifa fija por cliente hay muchos intereses
el prestamo solo es para casas construidas?,Cat_211,¿El préstamo es solo para casas construidas?,el prestamo solo es para casas construidas,el prestamo es solo para casas construidas
mexico telefono llamar,Cat_147,llamada telefónica de mexico,mexico telefono llamar,llamada telefonica de mexico
necesitar modificar gasto dolar debitar dolar peso modificacion,Cat_289,necesidad de modificar el gasto de débito en dólares modificación del peso en dólares,necesitar modificar gasto dolar debitar dolar peso modificacion,necesidad de modificar el gasto de debito en dolares modificacion del peso en dolares
yo quisiera saber si puedo optener la tarjeta de credito del banco .ya tengo la de debito,Cat_337,Me gustaría saber si puedo obtener la tarjeta de crédito bancaria. Ya tengo una tarjeta de debito,yo quisiera saber si puedo optener la tarjeta de credito del banco ya tengo la de debito,me gustaria saber si puedo obtener la tarjeta de credito bancaria ya tengo una tarjeta de debito
si hay tasas especiales para plazos fijos de más de un millon. o son las regulares.,Cat_184,si hay tarifas especiales para plazos fijos de más de un millón. o son los regulares.,si hay tasas especiales para plazos fijos de mas de un millon o son las regulares,si hay tarifas especiales para plazos fijos de mas de un millon o son los regulares
necesito crear,Cat_39,necesito crear,necesito crear,necesito crear
quien sos,Cat_14,quién eres tú,quien sos,quien eres tu
tengo tarjeta de santander rio  como hago para sumar millas en aadnatage_,Cat_274,Tengo una tarjeta santander rio ¿Cómo puedo agregar millas en una ventaja?,tengo tarjeta de santander rio como hago para sumar millas en aadnatage,tengo una tarjeta santander rio como puedo agregar millas en una ventaja
reactivación de tarjeta,Cat_314,reactivación de tarjeta,reactivacion de tarjeta,reactivacion de tarjeta
quiero compromiso pago,Cat_191,Quiero pago de compromiso,quiero compromiso pago,quiero pago de compromiso
quisiera saber si puedo pedir un préstamo de,Cat_248,Me gustaría saber si puedo solicitar un préstamo a,quisiera saber si puedo pedir un prestamo de,me gustaria saber si puedo solicitar un prestamo a
entre a trabajar hace dos meses puedo solicitar el préstamo hipotecario?,Cat_248,"Fui a trabajar hace dos meses, ¿puedo solicitar el préstamo hipotecario?",entre a trabajar hace dos meses puedo solicitar el prestamo hipotecario,fui a trabajar hace dos meses puedo solicitar el prestamo hipotecario
quiero saber de los prestamos uvas y procrear  me mostras la diferencia entre cada uno?,Cat_202,"Quiero saber acerca de los préstamos de uvas y procrear, ¿mostrarme la diferencia entre cada uno?",quiero saber de los prestamos uvas y procrear me mostras la diferencia entre cada uno,quiero saber acerca de los prestamos de uvas y procrear mostrarme la diferencia entre cada uno
tengo un cheque en dolares  como lo puedo cobrar?,Cat_30,"Tengo un cheque en dólares, ¿cómo puedo cobrarlo?",tengo un cheque en dolares como lo puedo cobrar,tengo un cheque en dolares como puedo cobrarlo
no llegue la transferencia a mi cuenta del exterior,Cat_35,la transferencia no llega a mi cuenta en el extranjero,no llegue la transferencia a mi cuenta del exterior,la transferencia no llega a mi cuenta en el extranjero
me.olvide la contraseña de mi cuenta,Cat_1,Olvidé la contraseña de mi cuenta,me olvide la contrasena de mi cuenta,olvide la contrasena de mi cuenta
me contactan de un estudio juridico por una deuda con el santander,Cat_190,Soy contactado por una firma de abogados para una deuda con Santander,me contactan de un estudio juridico por una deuda con el santander,soy contactado por una firma de abogados para una deuda con santander
aumentar extracciones,Cat_287,aumentar extracciones,aumentar extracciones,aumentar extracciones
que documentación tengo que presentar para mandar un pago hacia el exterior?,Cat_36,¿Qué documentación debo presentar para enviar un pago al extranjero?,que documentacion tengo que presentar para mandar un pago hacia el exterior,que documentacion debo presentar para enviar un pago al extranjero
usan sistema francés?,Cat_252,utilizar el sistema francés?,usan sistema frances,utilizar el sistema frances
hay tasa fija para compra de segunda vivienda?,Cat_258,¿Hay una tarifa fija para comprar una segunda casa?,hay tasa fija para compra de segunda vivienda,hay una tarifa fija para comprar una segunda casa
la tarjeta esta paga igual verdad?,Cat_279,"La tarjeta paga lo mismo, ¿verdad?",la tarjeta esta paga igual verdad,la tarjeta paga lo mismo verdad
soy cliente pregunto para un préstamo prendario cuanto es el interés hoy,Cat_258,Soy un cliente. Solicito un préstamo de compromiso. ¿Cuánto es el interés hoy?,soy cliente pregunto para un prestamo prendario cuanto es el interes hoy,soy un cliente solicito un prestamo de compromiso cuanto es el interes hoy
ir pagando en cuotas la deuda con la tarjeta,Cat_308,pagar la deuda de la tarjeta en cuotas,ir pagando en cuotas la deuda con la tarjeta,pagar la deuda de la tarjeta en cuotas
¿cuándo se pagan los intereses de las letes?,Cat_158,¿Cuándo se pagan los intereses de la leche?,cuando se pagan los intereses de las letes,cuando se pagan los intereses de la leche
yo pedí la tarjeta santander llega al domicilio o tengo q ir a buscarla?,Cat_293,¿Pedí la tarjeta Santander para llegar a la dirección o tengo que ir a buscarla?,yo pedi la tarjeta santander llega al domicilio o tengo q ir a buscarla,pedi la tarjeta santander para llegar a la direccion o tengo que ir a buscarla
no puedo retirar las tarjetas  me las pueden mandar a otra sucursal,Cat_318,"No puedo retirar las tarjetas, pueden enviarlas a otra sucursal",no puedo retirar las tarjetas me las pueden mandar a otra sucursal,no puedo retirar las tarjetas pueden enviarlas a otra sucursal
necesito solicitar o tramitar 2 posnet,Cat_71,Necesito solicitar o procesar 2 posnet,necesito solicitar o tramitar number posnet,necesito solicitar o procesar number posnet
quiero el descuento de colectivo de % quiero saber cuales son las empresas que lo toman,Cat_311,Quiero el descuento colectivo del% Quiero saber cuáles son las empresas que lo toman,quiero el descuento de colectivo de quiero saber cuales son las empresas que lo toman,quiero el descuento colectivo del quiero saber cuales son las empresas que lo toman
quiero hacer stop debit,Cat_353,Quiero detener el débito,quiero hacer stop debit,quiero detener el debito
para solicitar el préstamo lo puedo hacer por este medio,Cat_223,"Para solicitar el préstamo, puedo hacerlo aquí.",para solicitar el prestamo lo puedo hacer por este medio,para solicitar el prestamo puedo hacerlo aqui
cuales son los requisitos para hacer un pago al exterior?,Cat_36,¿Cuáles son los requisitos para realizar un pago en el extranjero?,cuales son los requisitos para hacer un pago al exterior,cuales son los requisitos para realizar un pago en el extranjero
